timestamp,Weather_Temperature_Celsius,Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Active_Power
2018-04-21 15:00:00,34.893333435059,13.27,664.85650634766,96.33,523.08215332031
2018-04-21 16:00:00,34.74333190918,13.74,521.96331787109,32.4,537.35040283203
2018-04-22 08:00:00,19.613332748413,21.61,139.36152648926,62.68,147.44410705566
2018-04-22 09:00:00,24.913333892822,15.31,361.56469726562,64.05,212.19561767578
2018-04-22 10:00:00,29.140001296997,13.15,565.49768066406,144.42,200.71731567383
2018-04-22 11:00:00,30.859998703003,11.98,720.15252685547,145.26,173.11283874512
2018-04-22 12:00:00,31.74666595459,11.27,813.22619628906,60.1,194.35488891602
2018-04-22 13:00:00,33.123332977295,10.92,838.32678222656,56.79,261.89031982422
2018-04-22 14:00:00,33.430000305176,10.83,782.81170654297,56.4,334.62350463867
2018-04-22 15:00:00,34.183334350586,11.06,652.91931152344,49.47,410.27172851562
2018-04-22 16:00:00,33.643333435059,11.69,479.77111816406,20.18,471.73428344727
2018-04-23 08:00:00,18.316665649414,24.55,155.76341247559,163.2,155.1763458252
2018-04-23 09:00:00,23.440000534058,17.72,365.11849975586,107.57,122.4670715332
2018-04-23 10:00:00,27.536666870117,15.71,524.32873535156,205.36,129.27865600586
2018-04-23 11:00:00,29.760000228882,14.23,740.23315429688,160.09,98.422485351562
2018-04-23 12:00:00,30.386667251587,12.97,817.12518310547,178.25,142.93243408203
2018-04-23 13:00:00,30.79666519165,12.03,802.00579833984,160.98,190.20826721191
2018-04-23 14:00:00,32.146667480469,11.54,796.71099853516,118.39,218.3289642334
2018-04-23 15:00:00,32.98999786377,11.59,664.84320068359,92.52,248.39436340332
2018-04-23 16:00:00,33.183334350586,12.14,486.90493774414,28.62,337.50909423828
2018-04-24 08:00:00,19.633333206177,26.68,57.955135345459,127.8,53.313228607178
2018-04-24 09:00:00,22.569999694824,19.07,217.97412109375,164.31,232.84580993652
